code,clinic,clinic_type,area,"Lat, Long",,,,,,,
CIW,CAMPUS KEY STUDENT,School,Paarl,"-33.92860655454541, 18.872291386187474",,,,,,,
CIY,Elsenberg,Commercial,Paarl,"-33.84714665555302, 18.834738294489945",,,,,,,
CJA,VELDDRIF,Residential,Paarl,"-32.76809407030277, 18.16074873364264",,,,,,,
CJB,HUGENOTE HIGH SCHOOL,School,Paarl,"-33.647848373307006, 19.00958783777477",,,,,,,
CJC,SBA SITE,Commercial,Paarl,,,,,,,,
CJD,AZOTEQ,Commercial,Paarl,"-33.74271698908672, 18.966787871163707",,,,,,,
CJE,TC NEWMAN CDC,Hospital,Paarl,"-33.722410966945, 18.987716326140433",,,,,,,
CJF,HELDERBERG HOSPITAL,Hospital,Paarl,"-34.07652277443781, 18.856984297317247",,,,,,,
CJH,SOMERSET LINKS PARK,Commercial,Paarl,"-34.087960105082836, 18.825314436962337",,,,,,,
CHQ,SUCCEED GROUP,Commercial,Paarl,"-34.08881998105508, 18.822526699999997",,,,,,,
CIX,ENGEN MACASSAR MOTOR,Commercial,Paarl,"-34.06110786544375, 18.760836784028",,,,,,,
CA5,UNIVERSITY OF STELLENBOSCH,Tertiary,Paarl,"-33.93267872615606, 18.864468457672587",,,,,,,
CA3,ELSENBURG COLLEGE,Tertiary,Paarl,"-33.8465413313955, 18.835568711633478",,,,,,,
CJK,MBEKWENI SAPS,Commercial,Paarl,"-33.67257801235585, 18.997550626138604",,,,,,,
FAP,MELBRO,Commercial,CT,"-33.937422157112536, 18.546246583821024",,,,,,,
FBF,ROGZ,Commercial,CT,"-33.862718405570995, 18.513072182312737",,,,,,,
FCG,GLAXO-SMITH-KLINE,Commercial,CT,"-33.93459337403244, 18.529385285049635",,,,,,,
FCU,DONALDSON FILTRATION,Commercial,CT,"-33.94013395936479, 18.558916083821032",,,,,,,
FDO,JOHNSON & JOHNSON,Commercial,CT,"-34.068781900107275, 18.459281768480768",,,,,,,
FGD,CAPE GATE CENTRE,Fixed,CT,"-33.8521833770616, 18.69604318467771",,,,,,,
FGT,INDIGO COSMETICS,Commercial,CT,"-33.93578883612776, 18.539455171163706",,,,,,,
FGX,THE BOULEVARD,Commercial,CT,"-33.889401411536994, 18.689504641491776",,,,,,,
FNB,SPAR KRAAIFONTEIN,Shopping,CT,"-33.83949472827157, 18.70428337301777",,,,,,,
FNF,REMAX BLOUBERG,Commercial,CT,"-33.823330827292324, 18.48245957452082",,,,,,,
FNH,SANTAM,Commercial,CT,"-33.87573192340808, 18.631894157672587",,,,,,,
FSF,ARROWGATE MONTANA,Commercial,CT,"-33.96161737593807, 18.576172597313118",,,,,,,
FSM,NETCARE KUILSRIVER,Hospital,CT,"-33.915654597238316, 18.669616614510485",,,,,,,
FTN,POLYOAKS,Commercial,CT,"-34.040079387155785, 18.470287656772",,,,,,,
FTW,KENILWORTH CENTRE,Fixed,CT,"-33.98860680259296, 18.484697197313984",,,,,,,
FVD,VARSITY COLLEGE,Tertiary,CT,"-33.94382759774454, 18.509105449572672",,,,,,,
FVY,CANAL WALK,Shopping,CT,"-33.89290198488365, 18.511929071163706",,,,,,,
FWD,KINGSBURY HOSP,Hospital,CT,"-33.98613512448123, 18.468769568477708",,,,,,,
FWE ,CIPLA GATEWAY,Commercial,CT,"-33.796216114394824, 18.532520312652025",,,,,,,
FWK,CHRYSALIS ACADEMY,School,CT,"-34.05829099970921, 18.417458568480356",,,,,,,
FWQ,VILLAGE SQUARE ,Shopping,CT,"-34.02102504300715, 18.467504864027166",,,,,,,
FWR,ROCHE SEQUENCING,Commercial,CT,"-33.934429193958735, 18.460622997521572",,,,,,,
